Pais,Pais_ID,Ano_Referencia,Populacao_Total,PIB_Per_Capita,Expectativa_Vida
Aruba,ABW,2021,107700.0,27200.0610793969,73.655
Africa Eastern and Southern,AFE,2021,713090928.0,1522.3933455926,62.9799991857494
Afghanistan,AFG,2021,40000412.0,356.496214115892,60.417
Africa Western and Central,AFW,2021,485920997.0,1765.9547879785,57.3625716910274
Angola,AGO,2021,34532429.0,1925.87466082167,62.958
Albania,ALB,2021,2811666.0,6413.28280828537,76.844
Andorra,AND,2021,78364.0,42425.6996756291,82.331
Arab World,ARB,2021,460646603.0,6681.70895180141,70.4041144889903
United Arab Emirates,ARE,2021,9575152.0,43360.0211001327,79.083
Argentina,ARG,2021,45312281.0,10738.0179223384,73.948
Armenia,ARM,2021,2962300.0,4685.17997128509,72.2780487804878
American Samoa,ASM,2021,49225.0,15236.1604875571,72.708
Antigua and Barbuda,ATG,2021,92349.0,17348.6006987182,77.197
Australia,AUS,2021,25685412.0,60607.7788605166,83.3
Austria,AUT,2021,8955797.0,53648.7190742245,81.190243902439
Azerbaijan,AZE,2021,10137750.0,5408.04535175023,70.999
Burundi,BDI,2021,12965481.0,214.091455416133,62.101
Belgium,BEL,2021,11586195.0,51658.238294958,81.790243902439
Benin,BEN,2021,13413417.0,1318.65158107487,59.61
Burkina Faso,BFA,2021,21995243.0,895.535288442991,60.046
Bangladesh,BGD,2021,167658854.0,2482.84917843357,71.103
Bulgaria,BGR,2021,6507301.0,12972.2173356002,71.2121951219512
Bahrain,BHR,2021,1504365.0,27147.8083882286,78.083
"Bahamas, The",BHS,2021,396373.0,30367.8605757708,70.752
Bosnia and Herzegovina,BIH,2021,3244907.0,7295.3438240957,74.567
Belarus,BLR,2021,9302585.0,7489.71894713888,72.0714634146342
Belize,BLZ,2021,395346.0,6122.61158580079,70.917
Bermuda,BMU,2021,64648.0,112765.08167306,81.745
Bolivia,BOL,2021,11937360.0,3384.84486462654,61.427
Brazil,BRA,2021,209550294.0,7972.5366498646,73.038
Barbados,BRB,2021,282147.0,18696.7858952957,76.58
Brunei Darussalam,BRN,2021,451721.0,31006.9636220576,74.869
Bhutan,BTN,2021,775442.0,3570.61257980872,72.448
Botswana,BWA,2021,2401441.0,7807.88794500125,63.303
Central African Republic,CAF,2021,5112100.0,492.263142830507,40.279
Canada,CAN,2021,38239864.0,52886.6616372703,81.5168292682927
Central Europe and the Baltics,CEB,2021,100205732.0,19239.8185020397,74.7232827859077
Switzerland,CHE,2021,8704546.0,93664.7736696111,83.7512195121951
Channel Islands,CHI,2021,166741.0,66912.1753241171,80.3
Chile,CHL,2021,19456334.0,16206.8325493421,78.876
China,CHN,2021,1412360000.0,12887.4357242941,78.117
Cote d'Ivoire,CIV,2021,29639736.0,2455.98127626488,60.29
Cameroon,CMR,2021,26915758.0,1672.32657340872,61.146
"Congo, Dem. Rep.",COD,2021,99148932.0,558.034077296358,60.044
"Congo, Rep.",COG,2021,5892183.0,2516.16255145432,64.192
Colombia,COL,2021,51188173.0,6222.62164397614,72.698
Comoros,COM,2021,818174.0,1587.72988601478,65.201
Cabo Verde,CPV,2021,516649.0,3971.44409203423,74.424
Costa Rica,CRI,2021,5059988.0,12838.1185359009,78.05
Caribbean small states,CSS,2021,4479167.0,13833.3099303464,69.9228107471769
Cuba,CUB,2021,11122168.0,,73.201
Curacao,CUW,2021,152369.0,17979.9982909306,75.686
Cayman Islands,CYM,2021,70108.0,86438.445257404,79.3
Cyprus,CYP,2021,1317309.0,33734.03515625,80.573
Czechia,CZE,2021,10505772.0,27696.4619527544,77.2219512195122
Germany,DEU,2021,83196078.0,52265.6541620571,80.790243902439
Djibouti,DJI,2021,1121248.0,3025.91126413549,63.83
Dominica,DMA,2021,67202.0,8376.40414141113,69.832
Denmark,DNK,2021,5856733.0,69727.9873677012,81.4048780487805
Dominican Republic,DOM,2021,11123476.0,8527.0754858205,71.757
Algeria,DZA,2021,44761099.0,4160.55926736925,75.208
East Asia & Pacific (excluding high income),EAP,2021,2128553744.0,9974.63640001599,75.2781418410849
Early-demographic dividend,EAR,2021,3432026092.0,3765.51079786712,68.1790994839634
East Asia & Pacific,EAS,2021,2375144416.0,13282.7636699758,76.1530093756951
Europe & Central Asia (excluding high income),ECA,2021,252189631.0,6623.35137698536,72.8874329657208
Europe & Central Asia,ECS,2021,924702975.0,27591.4108786977,76.7287266936821
Ecuador,ECU,2021,17682454.0,6061.32350181711,72.746
"Egypt, Arab Rep.",EGY,2021,110957008.0,3827.35415374308,68.976
Euro area,EMU,2021,347207191.0,42967.2551656434,81.5839330415712
Eritrea,ERI,2021,3350183.0,,66.94
Spain,ESP,2021,47443821.0,30799.4775937775,83.1780487804878
